image_path,class_label,attributes,caption,split,instance_id,image_path_fixed
images\team14_wrist_watch (40).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather watch from front ,train,Team14_BlueWatch_C,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (40).jpg
images\team14_wrist_watch (41).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from top ,val,Team14_BlackWatch_P,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (41).jpg
images\team14_wrist_watch (42).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small metal silver watch from top,train,Team14_SilverWatch_L,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (42).jpg
images\team14_wrist_watch (43).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from side ,train,Team14_BlackWatch_Q,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (43).jpg
images\team14_wrist_watch (44).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from side ,val,Team14_BlackWatch_R,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (44).jpg
images\team14_wrist_watch (45).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather smart watch,train,Team14_BlackWatch_S,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (45).jpg
images\team14_wrist_watch (46).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from side ,val,Team14_YellowWatch_I,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (46).jpg
images\team14_wrist_watch (47).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch,train,Team14_OrangeWatch_A,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (47).jpg
images\team14_wrist_watch (48).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch sideways,train,Team14_OrangeWatch_B,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (48).jpg
images\team14_wrist_watch (49).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch from side ,train,Team14_OrangeWatch_C,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (49).jpg
images\team14_wrist_watch (50).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic watch from back,train,Team14_BlackWatch_T,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (50).jpg
images\team14_wrist_watch (51).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from side,train,Team14_YellowWatch_J,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (51).jpg
images\team14_wrist_watch (52).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch from top,train,Team14_OrangeWatch_D,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (52).jpg
images\team14_wrist_watch (53).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch placed diagonally,val,Team14_OrangeWatch_E,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (53).jpg
images\team14_wrist_watch (54).jpg,clothing_wrist_watch,color:yellow;material:metal;condition:new;size:small,new small yellow metal watch from side ,train,Team14_YellowWatch_K,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (54).jpg
images\team14_wrist_watch (55).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch from top,train,Team14_BlackWatch_U,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (55).jpg
images\team14_wrist_watch (56).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch face,train,Team14_SIlverWatch_M,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (56).jpg
images\team14_wrist_watch (57).jpg,clothing_wrist_watch,color:yellow;material:unknown;condition:new;size:small,new small yellow leather watch from side ,train,Team14_YellowWatch_L,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (57).jpg
images\team14_wrist_watch (58).jpg,clothing_wrist_watch,color:unknown;material:plastic;condition:new;size:small,new small black plastic smart watch face,train,Team14_BlackWatch_V,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (58).jpg
images\team14_wrist_watch (59).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal watch flipped over ,train,Team14_BlackWatch_W,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (59).jpg
images\team14_wrist_watch (60).jpg,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,new small blue rubber analog watch from front,val,Team14_BlueWatch_D,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (60).jpg
images\team14_wrist_watch (61).jpg,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,new small blue analog rubber watch sideways ,val,Team14_BlueWatch_E,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (61).jpg
images\team14_wrist_watch (62).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather analog watch ,val,Team14_BlueWatch_F,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (62).jpg
images\team14_wrist_watch (63).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch sideways ,train,Team14_BlackWatch_X,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (63).jpg
images\team14_wrist_watch (64).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue analog leather watch sideways ,train,Team14_BlueWatch_G,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (64).jpg
images\team14_wrist_watch (65).jpg,clothing_wrist_watch,color:silver;material:rubber;condition:new;size:small,new small silver rubber watch from side,train,Team14_SilverWatch_N,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (65).jpg
images\team14_wrist_watch (66).jpg,clothing_wrist_watch,color:blue;material:rubber;condition:new;size:small,new small blue rubber watch from side ,train,Team14_BlueWatch_H,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (66).jpg
images\team14_wrist_watch (67).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch from back,train,Team14_BlackWatch_Y,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (67).jpg
images\team14_wrist_watch (68).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch from front,train,Team14_BlackWatch_Z,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (68).jpg
images\team14_wrist_watch (69).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch from front,train,Team14_SilverWatch_O,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (69).jpg
images\team14_wrist_watch (70).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from top ,val,Team14_BlackWatch_AA,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (70).jpg
images\team14_wrist_watch (71).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal watch from back,train,Team14_SilverWatch_P,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (71).jpg
images\team14_wrist_watch (72).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch face ,val,Team14_SilverWatch_Q,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (72).jpg
images\team14_wrist_watch (73).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from side ,train,Team14_BlackWatch_AB,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (73).jpg
images\team14_wrist_watch (74).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather watch from top,train,Team14_BlackWatch_AC,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (74).jpg
images\team14_wrist_watch (75).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch sideways,val,Team14_SilverWatch_R,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (75).jpg
images\team14_wrist_watch (76).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch sideways ,val,Team14_SilverWatch_S,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (76).jpg
images\team14_wrist_watch (77).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather analog watch,train,Team14_BlueWatch_I,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (77).jpg
images\team14_wrist_watch (78).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch,train,Team14_BlackWatch_AD,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (78).jpg
images\team14_wrist_watch (79).jpg,clothing_wrist_watch,color:black;material:metal;condition:new;size:small,new small black metal analog watch,train,Team14_BlackWatch_AE,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (79).jpg
images\team14_wrist_watch (80).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small brown analog leather watch,train,Team14_BrownWatch_A,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (80).jpg
images\team14_wrist_watch (81).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch ,val,Team14_SilverWatch_T,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (81).jpg
images\team14_wrist_watch (82).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small leather watch from back,train,Team14_UnkWatch_A,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (82).jpg
images\team14_wrist_watch (83).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small brown analog leather watch ,val,Team14_BrownWatch_B,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (83).jpg
images\team14_wrist_watch (84).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small leather watch from side ,train,Team14_UnkWatch_B,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (84).jpg
images\team14_wrist_watch (85).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch ,train,Team14_BlackWatch_AF,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (85).jpg
images\team14_wrist_watch (86).jpg,clothing_wrist_watch,color:unknown;material:unknown;condition:new;size:small,new small brown leather watch from side ,train,Team14_BrownWatch_C,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (86).jpg
images\team14_wrist_watch (87).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch from side ,val,Team14_SilverWatch_W,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (87).jpg
images\team14_wrist_watch (88).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch,train,Team14_BlackWatch_AG,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (88).jpg
images\team14_wrist_watch (89).jpg,clothing_wrist_watch,color:silver;material:metal;condition:new;size:small,new small silver metal analog watch from front,train,Team14_SilverWatch_U,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (89).jpg
images\team14_wrist_watch (90).jpg,clothing_wrist_watch,color:unknown;material:metal;condition:new;size:small,new small metal watch from side ,train,Team14_UnkWatch_C,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (90).jpg
images\team14_wrist_watch (91).jpg,clothing_wrist_watch,color:blue;material:unknown;condition:new;size:small,new small blue leather analog watch from top,train,Team14_BlueWatch_J,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (91).jpg
images\team14_wrist_watch (92).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch from top,train,Team14_BlackWatch_AH,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (92).jpg
images\team14_wrist_watch (93).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch from top,train,Team14_BlackWatch_AI,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (93).jpg
images\team14_wrist_watch (94).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch from front ,val,Team14_BlackWatch_AJ,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (94).jpg
images\team14_wrist_watch (95).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black leather analog watch sideways,train,Team14_BlackWatch_AK,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (95).jpg
images\team14_wrist_watch (96).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch from top,train,Team14_BlackWatch_AL,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (96).jpg
images\team14_wrist_watch (97).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch sideways,train,Team14_BlackWatch_AM,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (97).jpg
images\team14_wrist_watch (98).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black smart watch from side ,train,Team14_BlackWatch_AN,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (98).jpg
images\team14_wrist_watch (99).jpg,clothing_wrist_watch,color:black;material:plastic;condition:new;size:small,new small black plastic smart watch from behind,train,Team14_BlackWatch_AO,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (99).jpg
images\team14_wrist_watch (100).jpg,clothing_wrist_watch,color:black;material:unknown;condition:new;size:small,new small black smart watch from side ,train,Team14_BlackWatch_AP,/content/drive/MyDrive/DL_project/project/data/images/team14_wrist_watch (100).jpg
images\team14_earphones (1).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones with closed lid,val,Team14_WhiteEarphones_A,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (1).jpg
images\team14_earphones (2).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white bluetooth earphones with closed lid,val,Team14_WhiteEarphones_B,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (2).jpg
images\team14_earphones (3).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_C,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (3).jpg
images\team14_earphones (4).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:unknown;size:small,white bluetooth earphones kept on  solid background,train,Team14_WhiteEarphones_AK,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (4).jpg
images\team14_earphones (5).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_D,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (5).jpg
images\team14_earphones (6).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_E,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (6).jpg
images\team14_earphones (7).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_F,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (7).jpg
images\team14_earphones (8).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_G,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (8).jpg
images\team14_earphones (9).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:unknown;size:small,white bluetooth earphones back side view,train,Team14_WhiteEarphones_AF,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (9).jpg
images\team14_earphones (10).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_H,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (10).jpg
images\team14_earphones (11).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_I,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (11).jpg
images\team14_earphones (12).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_J,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (12).jpg
images\team14_earphones (13).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,val,Team14_WhiteEarphones_K,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (13).jpg
images\team14_earphones (14).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_L,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (14).jpg
images\team14_earphones (15).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,val,Team14_WhiteEarphones_M,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (15).jpg
images\team14_earphones (16).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,white Bluetooth earphones with closed lid,train,Team14_WhiteEarphones_N,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (16).jpg
images\team14_earphones (17).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with brown lid,train,Team14_BlackBrownEarphones_A,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (17).jpg
images\team14_earphones (18).jpg,electronic_accessories_earphones,color:black;material:plastic;condition:used;size:small,black bluetooth earphones with brown lid,train,Team14_BlackBrownEarphones_B,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (18).jpg
images\team14_earphones (19).jpg,electronic_accessories_earphones,color:brown;material:unknown;condition:used;size:small,Brown bluetooth earphones with vertical orientation,train,Team14_BrownEarphones_A,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (19).jpg
images\team14_earphones (20).jpg,electronic_accessories_earphones,color:white;material:plastic;condition:used;size:small,White bluetooth earphones back side view,train,Team14_WhiteEarphones_AG,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (20).jpg
images\team14_earphones (21).jpg,electronic_accessories_earphones,color:black;material:unknown;condition:used;size:small,Black case marshall bluetooth earphones with closed lid,train,Team14_BlackMarshallEarphones_A,/content/drive/MyDrive/DL_project/project/data/images/team14_earphones (21).jpg
